trial_index,left_type,right_type,left_ori,right_ori,left_sf_cpd,right_sf_cpd,left_size_deg,right_size_deg,left_sf_cyc_per_pix,right_sf_cyc_per_pix,left_size_pix,right_size_pix,stim_on_s,stim_off_s
1,B,A,45.0,0.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,17.454701100010425,2.6745129999908386
2,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,18.958045600011246,4.207551400002558
3,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,20.492165400006343,5.740873599992483
4,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,22.024253100011265,7.297330100002
5,B,A,45.0,0.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,23.580487700004596,8.824559599990607
6,B,A,45.0,0.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,25.108626000001095,10.342646999997669
7,B,A,45.0,0.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,26.625855800011777,11.875131699998747
8,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,28.16025850000733,13.40822099999059
9,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,29.691741800008458,14.934031500000856
10,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,31.23692630000005,16.50249279999116
11,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,32.812859900004696,17.984683899994707
