spikegadget,xcoord,ycoord
0,325,75
1,350,225
2,350,175
3,325,250
4,350,150
5,325,225
6,325,275
7,325,100
8,350,350
9,325,175
10,325,150
11,350,375
12,350,100
13,350,250
14,350,50
15,325,375
16,350,125
17,350,300
18,350,75
19,325,350
20,325,325
21,350,25
22,350,325
23,0,250
24,0,50
25,350,0
26,0,0
27,325,300
28,0,25
29,350,275
30,25,225
31,350,200
32,325,125
33,325,200
34,325,0
35,325,25
36,25,200
37,0,200
38,325,50
39,25,175
40,0,225
41,0,175
42,25,375
43,25,150
44,0,375
45,0,150
46,25,350
47,25,125
48,25,100
49,0,350
50,25,75
51,25,325
52,25,50
53,0,325
54,25,25
55,25,300
56,25,0
57,0,300
58,0,125
59,25,275
60,0,100
61,0,275
62,0,75
63,25,250
64,1000,175
65,975,350
66,975,150
67,1000,325
68,1000,125
69,975,325
70,1000,100
71,1000,300
72,1000,75
73,975,300
74,1000,50
75,1000,275
76,1000,25
77,975,275
78,1000,0
79,1000,250
80,975,250
81,975,125
82,1000,225
83,975,100
84,975,225
85,975,75
86,1000,200
87,975,50
88,975,200
89,650,225
90,975,25
91,975,0
92,650,200
93,675,200
94,650,25
95,650,0
96,675,325
97,1000,150
98,675,75
99,1000,375
100,675,100
101,975,375
102,650,350
103,1000,350
104,975,175
105,675,150
106,675,350
107,675,125
108,650,175
109,675,375
110,650,150
111,675,300
112,675,50
113,650,375
114,650,125
115,650,325
116,675,25
117,650,300
118,650,275
119,675,175
120,650,250
121,675,0
122,650,50
123,675,275
124,650,100
125,675,250
126,650,75
127,675,225
