spikegadget,xcoord,ycoord,sh
26,0,0,0
28,0,25,0
24,0,50,0
62,0,75,0
60,0,100,0
58,0,125,0
56,0,150,0
54,0,175,0
52,0,200,0
50,0,225,0
48,0,250,0
47,0,275,0
45,0,300,0
43,0,325,0
41,0,350,0
39,0,375,0
37,0,400,0
36,0,425,0
40,0,450,0
30,0,475,0
23,0,500,0
63,0,525,0
61,0,550,0
59,0,575,0
57,0,600,0
55,0,625,0
53,0,650,0
51,0,675,0
49,0,700,0
46,0,725,0
44,0,750,0
42,0,775,0
34,300,0,1
35,300,25,1
38,300,50,1
0,300,75,1
7,300,100,1
32,300,125,1
25,300,150,1
21,300,175,1
14,300,200,1
18,300,225,1
12,300,250,1
16,300,275,1
10,300,300,1
4,300,325,1
9,300,350,1
2,300,375,1
33,300,400,1
31,300,425,1
5,300,450,1
1,300,475,1
3,300,500,1
13,300,525,1
6,300,550,1
29,300,575,1
27,300,600,1
17,300,625,1
20,300,650,1
22,300,675,1
19,300,700,1
8,300,725,1
15,300,750,1
11,300,775,1
95,600,0,2
94,600,25,2
122,600,50,2
126,600,75,2
124,600,100,2
114,600,125,2
121,600,150,2
116,600,175,2
112,600,200,2
98,600,225,2
100,600,250,2
107,600,275,2
110,600,300,2
105,600,325,2
108,600,350,2
119,600,375,2
92,600,400,2
93,600,425,2
89,600,450,2
127,600,475,2
120,600,500,2
125,600,525,2
118,600,550,2
123,600,575,2
117,600,600,2
111,600,625,2
115,600,650,2
96,600,675,2
102,600,700,2
106,600,725,2
113,600,750,2
109,600,775,2
91,900,0,3
90,900,25,3
87,900,50,3
85,900,75,3
83,900,100,3
81,900,125,3
78,900,150,3
76,900,175,3
74,900,200,3
72,900,225,3
70,900,250,3
68,900,275,3
66,900,300,3
97,900,325,3
104,900,350,3
64,900,375,3
88,900,400,3
86,900,425,3
84,900,450,3
82,900,475,3
80,900,500,3
79,900,525,3
77,900,550,3
75,900,575,3
73,900,600,3
71,900,625,3
69,900,650,3
67,900,675,3
65,900,700,3
103,900,725,3
101,900,750,3
99,900,775,3
